epoch,reward,delivered,quantile,trajectories
0,-377.29,0,0.1,30
1,-378.37,0,0.1,30
2,-371.71,0,0.1,30
3,-376.3,0,0.1,30
4,-363.24,1,0.1,30
5,-387.28,0,0.1,30
6,-349.48,0,0.1,30
7,-345.25,0,0.1,30
8,-335.35,0,0.1,30
9,-330.77,3,0.1,30
10,-334.06,4,0.1,30
11,-354.07,0,0.1,30
12,-351.37,0,0.1,30
13,-347.5,0,0.1,30
14,-355.51,0,0.1,30
15,-342.82,0,0.1,30
16,-324.54,2,0.1,30
17,-317.57,8,0.1,30
18,-309.99,8,0.1,30
19,-294.25,6,0.1,30
20,-314.93,3,0.1,30
21,-338.21,2,0.1,30
22,-323.65,0,0.1,30
23,-301.87,0,0.1,30
24,-314.97,1,0.1,30
25,-318.95,1,0.1,30
26,-355.27,1,0.1,30
27,-337.17,1,0.1,30
28,-339.85,0,0.1,30
29,-362.35,0,0.1,30
30,-333.02,1,0.1,30
31,-343.95,1,0.1,30
32,-332.29,0,0.1,30
33,-353.44,1,0.1,30
34,-348.01,1,0.1,30
35,-308.62,0,0.1,30
36,-320.41,0,0.1,30
37,-345.43,0,0.1,30
38,-345.61,0,0.1,30
39,-326.53,0,0.1,30
40,-319.6,1,0.1,30
41,-319.02,1,0.1,30
42,-337.33,0,0.1,30
43,-303.67,5,0.1,30
44,-348.76,1,0.1,30
45,-348.94,0,0.1,30
46,-340.03,0,0.1,30
47,-388.18,0,0.1,30
48,-384.24,4,0.1,30
49,-389.53,0,0.1,30
50,-400.33,0,0.1,30
51,-370.9,0,0.1,30
52,-344.71,0,0.1,30
53,-353.98,0,0.1,30
54,-365.32,0,0.1,30
55,-370.0,0,0.1,30
56,-344.26,0,0.1,30
57,-357.49,0,0.1,30
58,-354.97,0,0.1,30
59,-351.82,0,0.1,30
60,-352.81,0,0.1,30
61,-319.15,0,0.1,30
62,-340.93,0,0.1,30
63,-322.73,1,0.1,30
64,-345.16,2,0.1,30
65,-335.85,6,0.1,30
66,-338.57,5,0.1,30
67,-317.5,8,0.1,30
68,-283.42,14,0.1,30
69,-322.76,4,0.1,30
70,-304.25,6,0.1,30
71,-340.1,7,0.1,30
72,-341.91,3,0.1,30
73,-351.64,1,0.1,30
74,-332.57,1,0.1,30
75,-339.1,1,0.1,30
76,-354.52,0,0.1,30
77,-409.87,0,0.1,30
78,-362.08,0,0.1,30
79,-325.9,0,0.1,30
80,-351.19,0,0.1,30
81,-327.34,0,0.1,30
82,-330.89,2,0.1,30
83,-347.14,0,0.1,30
84,-338.23,0,0.1,30
85,-327.7,0,0.1,30
86,-360.91,0,0.1,30
87,-342.55,0,0.1,30
88,-344.98,0,0.1,30
89,-325.47,2,0.1,30
90,-339.76,7,0.1,30
91,-350.64,7,0.1,30
92,-389.36,6,0.1,30
93,-326.17,5,0.1,30
94,-315.9,5,0.1,30
95,-325.52,9,0.1,30
96,-291.73,8,0.1,30
97,-314.53,4,0.1,30
98,-265.46,9,0.1,30
99,-304.78,6,0.1,30
0,-365.32,0,0.1,100
1,-370.72,0,0.1,100
2,-364.51,0,0.1,100
3,-339.85,0,0.1,100
4,-334.36,0,0.1,100
5,-341.11,0,0.1,100
6,-334.81,0,0.1,100
7,-306.73,0,0.1,100
8,-308.89,0,0.1,100
9,-304.84,0,0.1,100
10,-284.05,0,0.1,100
11,-258.4,0,0.1,100
12,-254.89,0,0.1,100
13,-253.36,0,0.1,100
14,-252.91,0,0.1,100
15,-230.14,0,0.1,100
16,-233.92,0,0.1,100
17,-215.41,1,0.1,100
18,-225.82,0,0.1,100
19,-223.57,0,0.1,100
20,-184.69,0,0.1,100
21,-192.21,2,0.1,100
22,-187.36,8,0.1,100
23,-187.1,3,0.1,100
