epoch,reward,delivered,quantile,trajectories,smoothing,alpha
0,-369.91,0,0.2,1000,Laplace,0.1
1,-357.49,2,0.2,1000,Laplace,0.1
2,-346.1,2,0.2,1000,Laplace,0.1
3,-321.67,5,0.2,1000,Laplace,0.1
4,-306.43,2,0.2,1000,Laplace,0.1
5,-294.27,2,0.2,1000,Laplace,0.1
6,-278.23,3,0.2,1000,Laplace,0.1
7,-260.45,7,0.2,1000,Laplace,0.1
8,-251.3,4,0.2,1000,Laplace,0.1
9,-232.77,7,0.2,1000,Laplace,0.1
10,-234.84,2,0.2,1000,Laplace,0.1
11,-204.27,9,0.2,1000,Laplace,0.1
12,-190.62,8,0.2,1000,Laplace,0.1
13,-171.44,15,0.2,1000,Laplace,0.1
14,-159.02,13,0.2,1000,Laplace,0.1
15,-158.66,10,0.2,1000,Laplace,0.1
16,-150.24,7,0.2,1000,Laplace,0.1
17,-138.71,12,0.2,1000,Laplace,0.1
18,-127.76,15,0.2,1000,Laplace,0.1
19,-121.48,12,0.2,1000,Laplace,0.1
20,-106.97,19,0.2,1000,Laplace,0.1
21,-107.81,12,0.2,1000,Laplace,0.1
22,-101.25,15,0.2,1000,Laplace,0.1
23,-99.6,13,0.2,1000,Laplace,0.1
24,-93.28,17,0.2,1000,Laplace,0.1
25,-271.74,37,0.2,1000,Laplace,0.1
26,-269.25,31,0.2,1000,Laplace,0.1
27,-237.99,39,0.2,1000,Laplace,0.1
28,-223.42,35,0.2,1000,Laplace,0.1
29,-200.51,43,0.2,1000,Laplace,0.1
30,-167.07,54,0.2,1000,Laplace,0.1
31,-145.67,58,0.2,1000,Laplace,0.1
32,-140.07,51,0.2,1000,Laplace,0.1
33,-117.93,64,0.2,1000,Laplace,0.1
34,-99.6,75,0.2,1000,Laplace,0.1
35,-90.87,78,0.2,1000,Laplace,0.1
36,-66.36,86,0.2,1000,Laplace,0.1
37,-58.77,91,0.2,1000,Laplace,0.1
38,-52.27,96,0.2,1000,Laplace,0.1
39,-35.0,100,0.2,1000,Laplace,0.1
40,-30.15,100,0.2,1000,Laplace,0.1
41,-26.11,100,0.2,1000,Laplace,0.1
42,-15.48,100,0.2,1000,Laplace,0.1
43,-13.98,100,0.2,1000,Laplace,0.1
44,-7.47,100,0.2,1000,Laplace,0.1
45,-5.55,100,0.2,1000,Laplace,0.1
46,-4.67,100,0.2,1000,Laplace,0.1
47,-2.07,100,0.2,1000,Laplace,0.1
48,-0.5,100,0.2,1000,Laplace,0.1
49,-0.66,100,0.2,1000,Laplace,0.1
50,1.22,100,0.2,1000,Laplace,0.1
51,-1.13,100,0.2,1000,Laplace,0.1
52,1.6,100,0.2,1000,Laplace,0.1
53,1.41,100,0.2,1000,Laplace,0.1
54,1.45,100,0.2,1000,Laplace,0.1
55,3.01,100,0.2,1000,Laplace,0.1
56,1.31,100,0.2,1000,Laplace,0.1
57,0.71,100,0.2,1000,Laplace,0.1
58,2.59,100,0.2,1000,Laplace,0.1
59,2.6,100,0.2,1000,Laplace,0.1
60,2.2,100,0.2,1000,Laplace,0.1
61,3.49,100,0.2,1000,Laplace,0.1
62,2.99,100,0.2,1000,Laplace,0.1
63,2.96,100,0.2,1000,Laplace,0.1
