epoch,reward,delivered,quantile,trajectories,type,sample_count
0,-457.7,1,0.2,1000,Averaging,5
1,-514.59,1,0.2,1000,Averaging,5
2,-496.99,0,0.2,1000,Averaging,5
3,-486.73,0,0.2,1000,Averaging,5
4,-472.33,0,0.2,1000,Averaging,5
5,-411.85,0,0.2,1000,Averaging,5
6,-433.54,0,0.2,1000,Averaging,5
7,-373.51,0,0.2,1000,Averaging,5
8,-368.83,0,0.2,1000,Averaging,5
9,-403.48,0,0.2,1000,Averaging,5
10,-323.11,0,0.2,1000,Averaging,5
11,-301.24,0,0.2,1000,Averaging,5
12,-312.4,0,0.2,1000,Averaging,5
13,-324.82,0,0.2,1000,Averaging,5
14,-262.54,0,0.2,1000,Averaging,5
15,-257.23,0,0.2,1000,Averaging,5
16,-256.42,0,0.2,1000,Averaging,5
17,-333.46,0,0.2,1000,Averaging,5
18,-202.6,0,0.2,1000,Averaging,5
19,-265.69,0,0.2,1000,Averaging,5
20,-257.68,0,0.2,1000,Averaging,5
21,-254.44,0,0.2,1000,Averaging,5
22,-280.72,0,0.2,1000,Averaging,5
23,-325.27,0,0.2,1000,Averaging,5
24,-262.18,0,0.2,1000,Averaging,5
25,-199.09,0,0.2,1000,Averaging,5
26,-217.0,0,0.2,1000,Averaging,5
27,-217.0,0,0.2,1000,Averaging,5
28,-325.0,0,0.2,1000,Averaging,5
29,-217.0,0,0.2,1000,Averaging,5
30,-280.0,0,0.2,1000,Averaging,5
31,-280.0,0,0.2,1000,Averaging,5
32,-289.0,0,0.2,1000,Averaging,5
33,-226.0,0,0.2,1000,Averaging,5
34,-298.0,0,0.2,1000,Averaging,5
35,-199.0,0,0.2,1000,Averaging,5
36,-271.0,0,0.2,1000,Averaging,5
37,-244.0,0,0.2,1000,Averaging,5
38,-226.0,0,0.2,1000,Averaging,5
39,-235.0,0,0.2,1000,Averaging,5
40,-235.0,0,0.2,1000,Averaging,5
41,-280.0,0,0.2,1000,Averaging,5
42,-262.0,0,0.2,1000,Averaging,5
43,-271.0,0,0.2,1000,Averaging,5
44,-253.0,0,0.2,1000,Averaging,5
45,-253.0,0,0.2,1000,Averaging,5
46,-172.0,0,0.2,1000,Averaging,5
47,-244.0,0,0.2,1000,Averaging,5
48,-298.0,0,0.2,1000,Averaging,5
49,-244.0,0,0.2,1000,Averaging,5
50,-244.0,0,0.2,1000,Averaging,5
51,-235.0,0,0.2,1000,Averaging,5
52,-253.0,0,0.2,1000,Averaging,5
53,-262.0,0,0.2,1000,Averaging,5
54,-244.0,0,0.2,1000,Averaging,5
55,-307.0,0,0.2,1000,Averaging,5
56,-226.0,0,0.2,1000,Averaging,5
57,-307.0,0,0.2,1000,Averaging,5
58,-244.0,0,0.2,1000,Averaging,5
59,-262.0,0,0.2,1000,Averaging,5
60,-244.0,0,0.2,1000,Averaging,5
61,-307.0,0,0.2,1000,Averaging,5
62,-208.0,0,0.2,1000,Averaging,5
63,-235.0,0,0.2,1000,Averaging,5
64,-244.0,0,0.2,1000,Averaging,5
65,-262.0,0,0.2,1000,Averaging,5
66,-190.0,0,0.2,1000,Averaging,5
67,-289.0,0,0.2,1000,Averaging,5
68,-244.0,0,0.2,1000,Averaging,5
69,-208.0,0,0.2,1000,Averaging,5
70,-235.0,0,0.2,1000,Averaging,5
71,-289.0,0,0.2,1000,Averaging,5
72,-208.0,0,0.2,1000,Averaging,5
73,-262.0,0,0.2,1000,Averaging,5
74,-217.0,0,0.2,1000,Averaging,5
75,-226.0,0,0.2,1000,Averaging,5
76,-217.0,0,0.2,1000,Averaging,5
77,-244.0,0,0.2,1000,Averaging,5
78,-235.0,0,0.2,1000,Averaging,5
79,-145.0,0,0.2,1000,Averaging,5
80,-244.0,0,0.2,1000,Averaging,5
81,-271.0,0,0.2,1000,Averaging,5
82,-289.0,0,0.2,1000,Averaging,5
83,-253.0,0,0.2,1000,Averaging,5
84,-235.0,0,0.2,1000,Averaging,5
85,-217.0,0,0.2,1000,Averaging,5
86,-271.0,0,0.2,1000,Averaging,5
87,-244.0,0,0.2,1000,Averaging,5
88,-244.0,0,0.2,1000,Averaging,5
89,-280.0,0,0.2,1000,Averaging,5
90,-262.0,0,0.2,1000,Averaging,5
91,-262.0,0,0.2,1000,Averaging,5
92,-190.0,0,0.2,1000,Averaging,5
93,-289.0,0,0.2,1000,Averaging,5
94,-190.0,0,0.2,1000,Averaging,5
95,-226.0,0,0.2,1000,Averaging,5
96,-271.0,0,0.2,1000,Averaging,5
97,-244.0,0,0.2,1000,Averaging,5
98,-244.0,0,0.2,1000,Averaging,5
99,-271.0,0,0.2,1000,Averaging,5
0,-411.51,1,0.5,1000,Averaging,5
1,-425.26,0,0.5,1000,Averaging,5
2,-388.81,0,0.5,1000,Averaging,5
3,-377.38,0,0.5,1000,Averaging,5
