epoch,reward,quantile,trajectories
0,-1376.188356787111,0.1,30
1,-1290.7392254214221,0.1,30
2,-1311.715028954288,0.1,30
3,-1243.5761563633775,0.1,30
4,-1298.8982138621443,0.1,30
5,-1229.4009910831871,0.1,30
6,-1276.1276888099708,0.1,30
7,-1304.981020882251,0.1,30
8,-1343.4543370450258,0.1,30
9,-1387.516830906412,0.1,30
10,-1402.0977044204315,0.1,30
11,-1389.4331690579693,0.1,30
12,-1344.6089410106842,0.1,30
13,-1347.4827437738813,0.1,30
14,-1302.4009276886875,0.1,30
15,-1264.3516983275383,0.1,30
16,-1265.4231375356178,0.1,30
17,-1310.5950725602536,0.1,30
18,-1272.3769311427793,0.1,30
19,-1268.6732201885416,0.1,30
20,-1289.722199999702,0.1,30
21,-1283.847251925793,0.1,30
22,-1262.8504544441992,0.1,30
23,-1267.9083736808882,0.1,30
24,-1207.1116505085672,0.1,30
25,-1205.943465524702,0.1,30
26,-1216.7478788083217,0.1,30
27,-1210.4470618739065,0.1,30
28,-1237.363914023345,0.1,30
29,-1264.2853277814963,0.1,30
30,-1250.6797720768875,0.1,30
31,-1241.4816469064933,0.1,30
32,-1188.8309126637505,0.1,30
33,-1254.4156619277244,0.1,30
34,-1262.2839464098424,0.1,30
35,-1207.1089083848328,0.1,30
36,-1182.7948912040822,0.1,30
37,-1246.1012266880928,0.1,30
38,-1213.0655758090784,0.1,30
39,-1158.217076959691,0.1,30
40,-1228.6941609183543,0.1,30
41,-1283.6595416061964,0.1,30
42,-1226.218148387073,0.1,30
43,-1244.4436606719769,0.1,30
44,-1243.8860016776023,0.1,30
45,-1226.7562825134764,0.1,30
46,-1228.810647176876,0.1,30
47,-1223.288340562014,0.1,30
48,-1284.0731918956112,0.1,30
49,-1264.829997169261,0.1,30
50,-1279.2696142696464,0.1,30
51,-1206.6095506244135,0.1,30
52,-1219.1316939566111,0.1,30
53,-1248.915760474032,0.1,30
54,-1227.914660567242,0.1,30
55,-1225.8710415298333,0.1,30
56,-1253.77419394564,0.1,30
57,-1293.7761650676166,0.1,30
58,-1213.2442201662932,0.1,30
59,-1230.1697488892655,0.1,30
60,-1212.2660660270246,0.1,30
61,-1229.1521116926738,0.1,30
62,-1230.4791132081214,0.1,30
63,-1243.4667051222546,0.1,30
64,-1239.6597404597935,0.1,30
65,-1274.1657651396872,0.1,30
66,-1251.9977300040548,0.1,30
67,-1246.7137506576273,0.1,30
68,-1270.3438336430513,0.1,30
69,-1195.6928761824295,0.1,30
70,-1264.8929463686336,0.1,30
71,-1206.7124460902585,0.1,30
72,-1269.6433502257578,0.1,30
73,-1238.2218625483847,0.1,30
74,-1203.70536055197,0.1,30
75,-1207.9084145423208,0.1,30
76,-1219.8912857882376,0.1,30
77,-1223.1834907986579,0.1,30
78,-1236.8405670931243,0.1,30
79,-1201.1854398373434,0.1,30
80,-1196.2081256242482,0.1,30
81,-1193.2243505917725,0.1,30
82,-1210.6330592741144,0.1,30
83,-1242.4952832686752,0.1,30
84,-1217.6256573874057,0.1,30
85,-1200.4483171871336,0.1,30
86,-1193.5073667641402,0.1,30
87,-1174.9215835595721,0.1,30
88,-1212.6238027554025,0.1,30
89,-1255.080394861691,0.1,30
90,-1282.2906464273183,0.1,30
91,-1180.4617434845113,0.1,30
92,-1237.87587317454,0.1,30
93,-1249.1096771784496,0.1,30
94,-1238.3546447631754,0.1,30
95,-1206.1593243390175,0.1,30
96,-1213.4899164479862,0.1,30
97,-1264.8927898494983,0.1,30
98,-1249.8163467179497,0.1,30
99,-1221.2378134915284,0.1,30
0,-1314.5833919965494,0.1,100
1,-1319.974146964702,0.1,100
2,-1256.905659738216,0.1,100
3,-1217.1339636681419,0.1,100
4,-1275.5989933478436,0.1,100
5,-1262.1468250932985,0.1,100
6,-1271.2682828438933,0.1,100
7,-1272.2515531445179,0.1,100
8,-1252.2824832551619,0.1,100
9,-1247.126382194429,0.1,100
10,-1254.425088367879,0.1,100
11,-1257.243387178407,0.1,100
12,-1255.9281162991847,0.1,100
13,-1304.8108164654482,0.1,100
14,-1271.3036795850849,0.1,100
15,-1286.8917628241625,0.1,100
16,-1284.6419450956394,0.1,100
17,-1239.7836493766774,0.1,100
18,-1238.2973727928158,0.1,100
