gamma,reward
0.99,0.862
0.9901,0.859
0.9902,0.865
0.9903,0.849
0.9904,0.849
0.9905,0.862
0.9906,0.857
0.9907,0.875
0.9908,0.848
0.9909,0.873
0.991,0.844
0.9911,0.85
0.9912,0.848
0.9913,0.861
0.9914,0.86
0.9915,0.841
0.9916,0.847
0.9917,0.839
0.9918,0.841
0.9919,0.862
0.992,0.849
0.9921,0.874
0.9922,0.85
0.9923,0.865
0.9924,0.853
0.9925,0.855
0.9926,0.854
0.9927,0.853
0.9928,0.847
0.9929,0.877
0.993,0.857
0.9931,0.84
0.9932,0.867
0.9933,0.854
0.9934,0.857
0.9935,0.863
0.9936,0.836
0.9937,0.865
0.9938,0.848
0.9939,0.826
0.994,0.872
0.9941,0.854
0.9942,0.83
0.9943,0.867
0.9944,0.87
0.9945,0.868
0.9946,0.832
0.9947,0.867
0.9948,0.847
0.9949,0.858
0.995,0.85
0.9951,0.839
0.9952,0.873
0.9953,0.855
0.9954,0.866
0.9955,0.852
0.9956,0.866
0.9957,0.838
0.9958,0.852
0.9959,0.846
0.996,0.868
0.9961,0.849
0.9962,0.852
0.9963,0.865
0.9964,0.858
0.9965,0.875
0.9966,0.868
0.9967,0.846
0.9968,0.849
0.9969,0.861
0.997,0.849
0.9971,0.874
0.9972,0.866
0.9973,0.848
0.9974,0.833
0.9975,0.856
0.9976,0.847
0.9977,0.856
0.9978,0.855
0.9979,0.847
0.998,0.857
0.9981,0.847
0.9982,0.865
0.9983,0.847
0.9984,0.849
0.9985,0.862
0.9986,0.854
0.9987,0.877
0.9988,0.848
0.9989,0.878
0.999,0.868
0.9991,0.857
0.9992,0.845
0.9993,0.838
0.9994,0.869
0.9995,0.868
0.9996,0.882
0.9997,0.863
0.9998,0.86
0.9999,0.881
1.0,0.878
