gamma,reward
0.01,0.733
0.02,0.744
0.03,0.757
0.04,0.75
0.05,0.726
0.06,0.74
0.07,0.745
0.08,0.745
0.09,0.736
0.1,0.726
0.11,0.734
0.12,0.729
0.13,0.719
0.14,0.745
0.15,0.747
0.16,0.738
0.17,0.724
0.18,0.73
0.19,0.75
0.2,0.736
0.21,0.739
0.22,0.729
0.23,0.748
0.24,0.745
0.25,0.744
0.26,0.751
0.27,0.722
0.28,0.726
0.29,0.724
0.3,0.738
0.31,0.712
0.32,0.743
0.33,0.729
0.34,0.723
0.35,0.727
0.36,0.711
0.37,0.758
0.38,0.751
0.39,0.75
0.4,0.746
0.41,0.729
0.42,0.738
0.43,0.736
0.44,0.743
0.45,0.748
0.46,0.703
0.47,0.747
0.48,0.752
0.49,0.722
0.5,0.729
0.51,0.748
0.52,0.721
0.53,0.719
0.54,0.754
0.55,0.749
0.56,0.737
0.57,0.74
0.58,0.724
0.59,0.741
0.6,0.721
0.61,0.742
0.62,0.731
0.63,0.721
0.64,0.735
0.65,0.728
0.66,0.723
0.67,0.717
0.68,0.706
0.69,0.736
0.7,0.746
0.71,0.733
0.72,0.733
0.73,0.746
0.74,0.738
0.75,0.744
0.76,0.728
0.77,0.712
0.78,0.716
0.79,0.756
0.8,0.732
0.81,0.718
0.82,0.709
0.83,0.728
0.84,0.748
0.85,0.709
0.86,0.736
0.87,0.741
0.88,0.712
0.89,0.729
0.9,0.732
0.91,0.728
0.92,0.761
0.93,0.734
0.94,0.744
0.95,0.73
0.96,0.749
0.97,0.735
0.98,0.749
0.99,0.866
1.0,0.869
