epoch,reward,algorithm
0,-100.0,Cross-entropy
1,-344.926,Cross-entropy
2,-267.652,Cross-entropy
3,-223.642,Cross-entropy
4,-181.432,Cross-entropy
5,-142.048,Cross-entropy
6,-152.425,Cross-entropy
7,-142.741,Cross-entropy
8,-165.052,Cross-entropy
9,-127.783,Cross-entropy
10,-124.273,Cross-entropy
11,-110.746,Cross-entropy
12,-113.374,Cross-entropy
13,-119.368,Cross-entropy
14,-100.0,Cross-entropy
15,-99.11,Cross-entropy
16,-98.891,Cross-entropy
17,-102.673,Cross-entropy
18,-100.0,Cross-entropy
19,-100.0,Cross-entropy
20,-100.0,Cross-entropy
21,-100.0,Cross-entropy
22,-100.0,Cross-entropy
23,-100.0,Cross-entropy
24,-100.0,Cross-entropy
25,-100.0,Cross-entropy
26,-100.0,Cross-entropy
27,-100.0,Cross-entropy
28,-100.0,Cross-entropy
29,-100.0,Cross-entropy
30,-100.0,Cross-entropy
31,-98.649,Cross-entropy
32,-94.921,Cross-entropy
33,-91.168,Cross-entropy
34,-94.04,Cross-entropy
35,-92.156,Cross-entropy
36,-91.332,Cross-entropy
37,-88.645,Cross-entropy
38,-88.525,Cross-entropy
39,-93.166,Cross-entropy
40,-96.462,Cross-entropy
41,-95.676,Cross-entropy
42,-97.093,Cross-entropy
43,-90.975,Cross-entropy
44,-87.114,Cross-entropy
45,-76.892,Cross-entropy
46,-61.979,Cross-entropy
47,-47.057,Cross-entropy
48,-52.036,Cross-entropy
49,-56.034,Cross-entropy
50,-47.651,Cross-entropy
51,-41.787,Cross-entropy
52,-38.216,Cross-entropy
53,-43.099,Cross-entropy
54,-32.356,Cross-entropy
55,-40.866,Cross-entropy
56,-4.758,Cross-entropy
57,-4.191,Cross-entropy
58,4.502,Cross-entropy
59,6.099,Cross-entropy
60,5.688,Cross-entropy
61,6.754,Cross-entropy
62,7.144,Cross-entropy
63,6.597,Cross-entropy
64,6.593,Cross-entropy
65,7.098,Cross-entropy
66,7.329,Cross-entropy
67,6.674,Cross-entropy
68,7.212,Cross-entropy
69,7.61,Cross-entropy
70,7.757,Cross-entropy
71,7.672,Cross-entropy
72,7.923,Cross-entropy
73,7.815,Cross-entropy
74,7.945,Cross-entropy
75,7.844,Cross-entropy
76,7.832,Cross-entropy
77,7.037,Cross-entropy
78,7.924,Cross-entropy
79,7.919,Cross-entropy
80,7.885,Cross-entropy
81,7.902,Cross-entropy
82,8.087,Cross-entropy
83,7.872,Cross-entropy
84,7.825,Cross-entropy
85,8.021,Cross-entropy
86,7.962,Cross-entropy
87,7.812,Cross-entropy
88,7.898,Cross-entropy
89,7.573,Cross-entropy
90,7.204,Cross-entropy
91,7.704,Cross-entropy
92,7.465,Cross-entropy
93,6.686,Cross-entropy
94,6.917,Cross-entropy
95,7.5,Cross-entropy
96,7.085,Cross-entropy
97,7.622,Cross-entropy
98,7.199,Cross-entropy
99,7.131,Cross-entropy
0,-100.0,MonteCarlo
1,-352.792,MonteCarlo
2,-224.956,MonteCarlo
3,-214.651,MonteCarlo
4,-139.592,MonteCarlo
5,-107.946,MonteCarlo
6,-98.27,MonteCarlo
7,-94.554,MonteCarlo
8,-81.474,MonteCarlo
9,-88.802,MonteCarlo
10,-87.891,MonteCarlo
11,-86.014,MonteCarlo
12,-78.519,MonteCarlo
13,-84.092,MonteCarlo
14,-80.533,MonteCarlo
15,-81.761,MonteCarlo
16,-80.892,MonteCarlo
17,-83.63,MonteCarlo
18,-80.753,MonteCarlo
19,-75.802,MonteCarlo
20,-70.303,MonteCarlo
21,-67.011,MonteCarlo
22,-71.459,MonteCarlo
23,-63.939,MonteCarlo
24,-65.856,MonteCarlo
25,-65.529,MonteCarlo
26,-65.927,MonteCarlo
27,-64.9,MonteCarlo
28,-61.44,MonteCarlo
29,-63.237,MonteCarlo
30,-63.366,MonteCarlo
