epoch,reward,algorithm
0,19.9,MonteCarlo
1,18.9,MonteCarlo
2,20.0,MonteCarlo
3,26.7,MonteCarlo
4,30.3,MonteCarlo
5,25.1,MonteCarlo
6,38.6,MonteCarlo
7,27.7,MonteCarlo
8,25.3,MonteCarlo
9,19.2,MonteCarlo
10,27.9,MonteCarlo
11,20.2,MonteCarlo
12,23.0,MonteCarlo
13,40.8,MonteCarlo
14,25.8,MonteCarlo
15,33.0,MonteCarlo
16,46.6,MonteCarlo
17,33.8,MonteCarlo
18,39.7,MonteCarlo
19,39.2,MonteCarlo
20,27.0,MonteCarlo
21,39.0,MonteCarlo
22,29.1,MonteCarlo
23,42.4,MonteCarlo
24,41.3,MonteCarlo
25,37.8,MonteCarlo
26,35.2,MonteCarlo
27,49.3,MonteCarlo
28,35.2,MonteCarlo
29,41.9,MonteCarlo
30,60.5,MonteCarlo
31,65.1,MonteCarlo
32,51.0,MonteCarlo
33,67.5,MonteCarlo
34,62.2,MonteCarlo
35,60.2,MonteCarlo
36,104.4,MonteCarlo
37,72.5,MonteCarlo
38,94.1,MonteCarlo
39,102.0,MonteCarlo
40,101.7,MonteCarlo
41,82.3,MonteCarlo
42,101.9,MonteCarlo
43,120.3,MonteCarlo
44,130.6,MonteCarlo
45,112.6,MonteCarlo
46,183.9,MonteCarlo
47,88.0,MonteCarlo
48,121.2,MonteCarlo
49,138.0,MonteCarlo
50,148.7,MonteCarlo
51,165.0,MonteCarlo
52,170.6,MonteCarlo
53,139.9,MonteCarlo
54,220.4,MonteCarlo
55,173.4,MonteCarlo
56,200.5,MonteCarlo
57,139.8,MonteCarlo
58,248.8,MonteCarlo
59,209.0,MonteCarlo
60,239.6,MonteCarlo
61,299.5,MonteCarlo
62,268.7,MonteCarlo
63,350.6,MonteCarlo
64,296.5,MonteCarlo
65,349.0,MonteCarlo
66,388.6,MonteCarlo
67,364.8,MonteCarlo
68,328.0,MonteCarlo
69,335.1,MonteCarlo
70,433.6,MonteCarlo
71,396.4,MonteCarlo
72,429.3,MonteCarlo
73,432.0,MonteCarlo
74,480.6,MonteCarlo
75,500.0,MonteCarlo
76,406.8,MonteCarlo
77,431.1,MonteCarlo
78,440.1,MonteCarlo
79,418.0,MonteCarlo
80,483.5,MonteCarlo
81,475.1,MonteCarlo
82,453.9,MonteCarlo
83,500.0,MonteCarlo
84,443.4,MonteCarlo
85,489.6,MonteCarlo
86,500.0,MonteCarlo
87,498.6,MonteCarlo
88,500.0,MonteCarlo
89,500.0,MonteCarlo
90,479.8,MonteCarlo
91,500.0,MonteCarlo
92,500.0,MonteCarlo
93,500.0,MonteCarlo
94,500.0,MonteCarlo
95,500.0,MonteCarlo
96,500.0,MonteCarlo
97,500.0,MonteCarlo
98,500.0,MonteCarlo
99,500.0,MonteCarlo
0,22.6,SARSA
1,16.8,SARSA
2,19.6,SARSA
3,20.6,SARSA
4,20.9,SARSA
5,24.3,SARSA
6,18.5,SARSA
7,23.6,SARSA
8,26.7,SARSA
9,23.5,SARSA
10,33.5,SARSA
11,22.9,SARSA
12,33.7,SARSA
13,34.0,SARSA
14,30.2,SARSA
15,31.7,SARSA
16,23.9,SARSA
17,43.9,SARSA
18,27.8,SARSA
19,34.6,SARSA
20,25.7,SARSA
21,40.5,SARSA
22,41.4,SARSA
23,28.6,SARSA
24,41.2,SARSA
25,45.5,SARSA
26,37.4,SARSA
27,38.0,SARSA
28,37.0,SARSA
29,59.4,SARSA
30,55.2,SARSA
31,66.0,SARSA
32,48.3,SARSA
33,61.1,SARSA
34,37.6,SARSA
35,61.8,SARSA
36,55.4,SARSA
37,45.5,SARSA
38,63.8,SARSA
39,54.4,SARSA
40,65.0,SARSA
41,76.2,SARSA
42,40.3,SARSA
43,82.4,SARSA
44,65.4,SARSA
45,65.8,SARSA
46,93.3,SARSA
47,55.9,SARSA
48,110.2,SARSA
49,64.4,SARSA
50,94.2,SARSA
51,116.2,SARSA
52,131.7,SARSA
53,183.9,SARSA
54,67.3,SARSA
55,112.2,SARSA
56,116.3,SARSA
57,156.6,SARSA
58,157.8,SARSA
59,126.5,SARSA
60,153.8,SARSA
61,184.6,SARSA
62,159.9,SARSA
63,244.9,SARSA
64,168.8,SARSA
65,172.5,SARSA
66,163.9,SARSA
67,172.0,SARSA
68,143.9,SARSA
69,183.1,SARSA
70,221.1,SARSA
71,239.0,SARSA
72,284.9,SARSA
73,298.0,SARSA
74,294.9,SARSA
75,289.6,SARSA
76,226.4,SARSA
77,306.7,SARSA
78,344.7,SARSA
79,364.6,SARSA
80,345.3,SARSA
81,275.4,SARSA
82,427.1,SARSA
83,434.9,SARSA
84,377.1,SARSA
85,478.8,SARSA
86,491.8,SARSA
87,378.4,SARSA
88,477.2,SARSA
89,443.0,SARSA
90,454.7,SARSA
91,395.3,SARSA
92,473.2,SARSA
93,500.0,SARSA
94,500.0,SARSA
95,500.0,SARSA
96,476.4,SARSA
97,500.0,SARSA
98,500.0,SARSA
99,500.0,SARSA
0,23.2,Q Learning
1,24.0,Q Learning
2,23.5,Q Learning
3,20.2,Q Learning
4,29.8,Q Learning
5,34.6,Q Learning
6,19.0,Q Learning
7,21.0,Q Learning
8,29.7,Q Learning
9,17.9,Q Learning
10,26.4,Q Learning
