epoch,reward,strategy
0,-391.28,Linear
1,-388.37,Linear
2,-388.86,Linear
3,-377.74,Linear
4,-376.1,Linear
5,-372.44,Linear
6,-367.68,Linear
7,-366.04,Linear
8,-347.55,Linear
9,-349.2,Linear
10,-347.19,Linear
11,-344.62,Linear
12,-338.66,Linear
13,-320.26,Linear
14,-317.53,Linear
15,-313.43,Linear
16,-292.74,Linear
17,-285.34,Linear
18,-291.42,Linear
19,-274.53,Linear
20,-253.32,Linear
21,-251.2,Linear
22,-255.11,Linear
23,-225.16,Linear
24,-224.64,Linear
25,-221.95,Linear
26,-211.06,Linear
27,-208.77,Linear
28,-179.78,Linear
29,-170.98,Linear
30,-174.15,Linear
31,-180.84,Linear
32,-163.01,Linear
33,-181.07,Linear
34,-138.02,Linear
35,-136.11,Linear
36,-135.59,Linear
37,-132.02,Linear
38,-125.99,Linear
39,-116.71,Linear
40,-126.02,Linear
41,-102.14,Linear
42,-107.13,Linear
43,-109.2,Linear
44,-106.12,Linear
45,-113.37,Linear
46,-94.57,Linear
47,-99.79,Linear
48,-88.62,Linear
49,-94.36,Linear
50,-73.84,Linear
51,-87.5,Linear
52,-79.57,Linear
53,-73.45,Linear
54,-76.64,Linear
55,-66.33,Linear
56,-70.6,Linear
57,-65.31,Linear
58,-69.47,Linear
59,-55.99,Linear
60,-71.02,Linear
61,-59.02,Linear
62,-62.71,Linear
63,-64.24,Linear
64,-59.97,Linear
65,-49.93,Linear
66,-57.1,Linear
67,-50.49,Linear
68,-56.27,Linear
69,-51.15,Linear
70,-47.38,Linear
71,-48.91,Linear
72,-57.18,Linear
73,-48.85,Linear
74,-40.05,Linear
75,-42.13,Linear
76,-49.21,Linear
77,-42.3,Linear
78,-49.0,Linear
79,-48.34,Linear
80,-53.92,Linear
81,-43.81,Linear
82,-39.2,Linear
83,-50.72,Linear
84,-49.81,Linear
85,-40.94,Linear
86,-44.99,Linear
87,-50.19,Linear
88,-51.65,Linear
89,-47.16,Linear
90,-49.09,Linear
91,-50.66,Linear
92,-50.0,Linear
93,-39.72,Linear
94,-44.89,Linear
95,-40.55,Linear
96,-48.0,Linear
97,-54.47,Linear
98,-46.58,Linear
99,-43.43,Linear
0,-394.26,Exponential
1,-380.56,Exponential
2,-377.75,Exponential
3,-345.0,Exponential
4,-330.5,Exponential
5,-297.09,Exponential
6,-265.05,Exponential
7,-247.52,Exponential
8,-232.01,Exponential
9,-201.89,Exponential
10,-191.38,Exponential
11,-174.1,Exponential
12,-153.15,Exponential
13,-112.42,Exponential
14,-136.95,Exponential
15,-114.51,Exponential
16,-100.76,Exponential
17,-113.45,Exponential
18,-102.47,Exponential
19,-90.87,Exponential
20,-110.84,Exponential
21,-83.81,Exponential
22,-84.32,Exponential
23,-85.47,Exponential
24,-72.89,Exponential
25,-85.28,Exponential
26,-78.45,Exponential
27,-72.23,Exponential
28,-67.24,Exponential
29,-71.92,Exponential
30,-58.32,Exponential
31,-70.49,Exponential
32,-70.71,Exponential
33,-63.32,Exponential
34,-65.55,Exponential
35,-62.82,Exponential
36,-58.14,Exponential
37,-58.41,Exponential
38,-49.58,Exponential
39,-51.89,Exponential
40,-51.92,Exponential
41,-48.0,Exponential
42,-46.25,Exponential
43,-52.16,Exponential
44,-47.94,Exponential
45,-56.45,Exponential
46,-52.95,Exponential
47,-56.5,Exponential
48,-40.18,Exponential
49,-49.13,Exponential
50,-59.72,Exponential
51,-50.27,Exponential
52,-46.59,Exponential
53,-44.83,Exponential
54,-65.46,Exponential
55,-50.4,Exponential
56,-43.65,Exponential
57,-43.61,Exponential
58,-42.75,Exponential
59,-50.05,Exponential
60,-55.54,Exponential
61,-42.12,Exponential
62,-41.18,Exponential
63,-52.54,Exponential
64,-35.95,Exponential
65,-54.47,Exponential
66,-36.76,Exponential
67,-39.39,Exponential
68,-43.21,Exponential
69,-47.1,Exponential
70,-37.4,Exponential
71,-40.39,Exponential
72,-39.81,Exponential
73,-28.37,Exponential
74,-41.06,Exponential
75,-34.88,Exponential
76,-46.48,Exponential
77,-49.52,Exponential
78,-38.38,Exponential
79,-36.88,Exponential
80,-47.24,Exponential
81,-44.33,Exponential
82,-42.99,Exponential
83,-35.93,Exponential
84,-32.8,Exponential
85,-39.92,Exponential
86,-37.71,Exponential
87,-37.45,Exponential
88,-32.56,Exponential
89,-39.82,Exponential
90,-29.16,Exponential
91,-39.65,Exponential
92,-42.07,Exponential
93,-38.92,Exponential
94,-23.43,Exponential
95,-36.03,Exponential
96,-39.45,Exponential
97,-36.22,Exponential
98,-34.77,Exponential
99,-25.94,Exponential
0,-394.39,Decaying
1,-281.37,Decaying
2,-182.0,Decaying
3,-157.34,Decaying
4,-136.73,Decaying
5,-138.35,Decaying
6,-123.75,Decaying
